config,description,faithfulness,answer_relevancy,context_recall,keyword_accuracy,gen_time,ragas_time,latency_total
A_baseline,V2 Baseline (zero_shot_ko),0.9882572362278244,0.39098914496326587,0.7666666666666667,0.44303294257628617,366.53062249999493,1191.478611700004,1558.0097597000422
B_metadata,+Document Metadata,0.8101210011191238,0.4908859637199507,0.6857142857142856,0.5849142557075993,338.7238645000034,1253.8798854999477,1592.604106999992
C_verbatim,+Verbatim Prompt,0.8286724554309183,0.5111091750799811,0.7,0.6640141835575271,407.87993330002064,1352.1536951999879,1760.034141000011
D_reranker,+LLM Reranker,0.8518183642085122,0.5423049766393511,0.7666666666666667,0.6517055934548194,585.8044881999958,1201.7798331000376,1787.5848414000357
E_decompose,+Query Decomposition,0.8722139908595016,0.49786557436526474,0.7666666666666667,0.5863299384081117,685.0632926000399,1273.1954241999774,1958.2592422000016
F_full,+Relevance Grading (Full),0.8444269106653006,0.5136293033688878,0.7023809523809523,0.6155084495254772,795.9164552000002,1254.7915383999934,2050.708575900004
