group,metric,table_effect,ocr_effect,interaction,n
central,kw_v2,-0.10885416666666664,-0.24479166666666666,,234
central,faithfulness,0.19696691176470582,0.29227941176470584,,234
central,context_recall,0.0688316993464052,-0.3235294117647059,,234
extreme,kw_v2,-0.21809210526315792,-0.3006944444444445,,60
extreme,faithfulness,0.17499999999999982,0.2583333333333333,,60
extreme,context_recall,0.01842105263157895,-0.35,,60
