Config,Label,S,T,M,Chunks,Keyword_HR,Time(s),Context_Recall,Context_Precision
S+M,Structure + Metadata,True,False,True,656,0.8381345520664406,6.734116077423096,0.7809523809523811,0.4697180243047323
T+M,Table + Metadata,False,True,True,1005,0.827118077427675,9.136356115341187,0.7904761904761906,0.5047639089324364
M,Metadata Enrichment,False,False,True,591,0.8202473466792353,6.749782562255859,0.7666666666666667,0.5152056287910827
baseline,V1 Baseline,False,False,False,591,0.8096412860731746,7.223599433898926,0.7333333333333333,0.48943646308364286
S,Structure-aware,True,False,False,656,0.8089264828738513,6.788025140762329,,
T,Table Integration,False,True,False,1005,0.7988888032618683,9.168671131134033,,
S+T+M,All Combined,True,True,True,1070,0.7972472402038965,9.136431694030762,,
S+T,Structure + Table,True,True,False,1070,0.7646661551382914,9.06704068183899,,
