config,group,kw_v2,faithfulness,context_recall
A_single_pipeline,central,0.25801282051282054,0.6762820512820513,0.3269230769230769
A_single_pipeline,extreme,0.3006944444444445,0.7416666666666667,0.35
B_rule_single_route,central,0.15844017094017096,0.8602564102564102,0.3376068376068376
B_rule_single_route,extreme,0.07847222222222222,0.9333333333333333,0.375
C_rule_multi_route,central,0.17767094017094018,0.8365384615384616,0.38247863247863245
C_rule_multi_route,extreme,0.07847222222222222,0.9083333333333334,0.325
