config,chunk_size,table_strategy,context_recall,num_chunks,parse_time,index_time,retrieval_time,latency_total
chunk=500_table=text,500,text,0.6833333333333333,528,24.933824500010815,3.8336593999993056,64.0549658999953,92.82244980000542
chunk=1000_table=text,1000,text,0.6,259,25.72292070000549,3.8210955999966245,56.79881980000937,86.34283610001148
chunk=2000_table=text,2000,text,0.7166666666666667,118,25.69139130000258,2.585679399999208,107.04255809998722,135.319628799989
chunk=500_table=layout,500,layout,0.7333333333333333,611,25.970881699991878,4.833825399997295,55.02808930000174,85.83279639999091
chunk=1000_table=layout,1000,layout,0.6,322,25.724897300009616,3.9213617000059457,61.775659200007794,91.42191820002336
chunk=2000_table=layout,2000,layout,0.6666666666666666,143,25.995364800008247,3.0598481000051834,61.64386700000614,90.69907990001957
