strategy,description,faithfulness,answer_relevancy,context_recall,keyword_accuracy,gen_time,ragas_time,latency_total
zero_shot_en,Baseline (영문 Zero-shot),0.9229451265320832,0.588816141094918,0.7333333333333333,0.4351820765520457,309.3977556999889,1295.6777637999621,1605.0759148999932
zero_shot_ko,한국어 Zero-shot,0.9523690932311621,0.4132632581495239,0.7333333333333333,0.4921943990248944,350.18095020001056,1182.7050230000168,1532.8865109999897
few_shot_ko,한국어 Few-shot (2 examples),0.9577777777777778,0.4037939167597329,0.6666666666666666,0.41608427820889116,298.33881879999535,1018.1182504000026,1316.4575061000069
cot_ko,한국어 Chain-of-Thought,0.7359529064450493,0.5618573715772565,0.7,0.5942171977775693,496.59266429999843,1496.451215100009,1993.044513700006
