strategy,description,faithfulness,answer_relevancy,context_recall,keyword_accuracy,gen_time,ragas_time,latency_total
zero_shot_en,Baseline (영문 Zero-shot),0.8647140768588136,0.5896066066569967,0.7,0.44034174488508854,253.32040740002412,582.7194185000262,836.0404804000282
zero_shot_ko,한국어 Zero-shot,0.9632369720605015,0.4170788409368907,0.7333333333333333,0.4916201302424212,286.80080469994573,573.6954601999605,860.4965778999613
few_shot_ko,한국어 Few-shot (2 examples),0.9110611185201348,0.3940303734783542,0.7666666666666667,0.41102609464838563,266.938570600003,542.0967310999986,809.0356293999939
cot_ko,한국어 Chain-of-Thought,,0.5310098887468963,0.7666666666666667,0.6065122457808216,424.3870238000527,719.8813513999921,1144.2689540000283
