file,format,file_size_kb,text_len,n_tables,n_images,extract_method,error
을지대학교_을지대학교 비교과시스템 개발.hwp,hwp,3295.0,69706,104,3,hwp5html,
인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp,hwp,358.5,55164,145,5,hwp5html,
인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에 .hwp,hwp,787.5,68787,133,4,hwp5html,
인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp,hwp,621.0,63998,115,5,hwp5html,
인천광역시_인천일자리플랫폼 정보시스템 구축 ISP 수립용역.hwp,hwp,2192.5,62685,101,11,hwp5html,
재단법인 광주광역시 광주문화재단_2024년 광주문화예술통합플랫폼 시스.hwp,hwp,421.5,64309,105,1,hwp5html,
재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발.hwp,hwp,982.0,70073,141,4,hwp5html,
재단법인 한국장애인문화예술원_2024년 장애인문화예술정보시스템 이음.hwp,hwp,197.5,48267,106,2,hwp5html,
재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp,hwp,490.0,108032,190,1,hwp5html,
재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,hwp,941.0,76272,139,5,hwp5html,
재단법인충북연구원_GIS통계 기반 재난안전데이터 분석ㆍ관리 시스템 구.hwp,hwp,964.0,44196,94,3,hwp5html,
전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축.hwp,hwp,896.0,72821,103,4,hwp5html,
전북특별자치도 정읍시_정읍체육트레이닝센터 통합운영관리시스템 구.hwp,hwp,962.0,99036,172,4,hwp5html,
조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구.hwp,hwp,228.0,45914,91,1,hwp5html,
중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업.hwp,hwp,915.5,81699,168,4,hwp5html,
축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업.hwp,hwp,3923.0,73278,151,6,hwp5html,
축산물품질평가원_축산물이력관리시스템 개선(정보화 사업).hwp,hwp,1115.5,75517,127,8,hwp5html,
케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 .hwp,hwp,1048.5,15624,0,2,hwp5txt,
파주도시관광공사_종량제봉투 판매관리 전산시스템 개선사업.hwp,hwp,438.5,82984,155,6,hwp5html,
한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,hwp,275.0,100623,175,1,hwp5html,
한국건강가정진흥원_2025년 아이돌봄인력 인적성 검사 정보시스템 운영.hwp,hwp,498.5,20642,0,3,hwp5txt,
한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,hwp,370.5,43573,75,2,hwp5html,
한국농수산식품유통공사_농산물가격안정기금 정부예산회계연계시스템 .hwp,hwp,645.5,63980,119,7,hwp5html,
