group,table_aware,ocr,kw_v2,faithfulness,context_recall,n
central,0,0,0.24479166666666666,0.7077205882352942,0.3235294117647059,136
central,0,1,0.0,1.0,0.0,2
central,1,0,0.13593750000000002,0.9046875,0.3923611111111111,96
extreme,0,0,0.3006944444444445,0.7416666666666667,0.35,20
extreme,0,1,0.0,1.0,0.0,2
extreme,1,0,0.08260233918128655,0.9166666666666667,0.3684210526315789,38
