config,description,faithfulness,answer_relevancy,context_recall,keyword_accuracy,gen_time,ragas_time,latency_total,num_docs
A_baseline,Baseline (chunk=500),0.817402576181988,0.4905625945774757,0.7333333333333333,0.6630342604878209,374.8661519000307,1279.955348300049,1654.8220017000567,1005
B_large_chunk,Large Chunk (1000),0.8237304343859816,0.5110002345070794,0.7166666666666667,0.6011318942781789,375.3302451999625,1346.8079355999944,1722.1387077999534,724
D0_section_aware,Section-aware + Header Prefix,0.8028629426129427,0.5205750644335893,0.6261904761904762,0.569055195177486,424.64256900001783,1316.3550327999983,1740.9979821000015,831
T0_table_dual,Section + Table Dual-Index,0.7775665579041944,0.4799542974658421,0.6095238095238095,0.553603034249319,385.61459419998573,1235.4810477999854,1621.0961577999988,1202
